"","MSA","estimate","is_male","min_age","max_age"
"1","Atlanta-Sandy Springs-Alpharetta, GA",182318,1,0,5
"2","Los Angeles-Long Beach-Anaheim, CA",354263,1,0,5
"3","Seattle-Tacoma-Bellevue, WA",115861,1,0,5
"4","Miami-Fort Lauderdale-Pompano Beach, FL",165822,1,0,5
"5","Washington-Arlington-Alexandria, DC-VA-MD-WV",191907,1,0,5
"6","Phoenix-Mesa-Chandler, AZ",144339,1,0,5
"7","Chicago-Naperville-Elgin, IL-IN-WI",270149,1,0,5
"8","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",174755,1,0,5
"9","Dallas-Fort Worth-Arlington, TX",251179,1,0,5
"10","Detroit-Warren-Dearborn, MI",126007,1,0,5
"11","San Francisco-Oakland-Berkeley, CA",119232,1,0,5
"12","Houston-The Woodlands-Sugar Land, TX",244416,1,0,5
"13","Boston-Cambridge-Newton, MA-NH",124843,1,0,5
"14","New York-Newark-Jersey City, NY-NJ-PA",579359,1,0,5
"15","Riverside-San Bernardino-Ontario, CA",147629,1,0,5
"16","Phoenix-Mesa-Chandler, AZ",161117,1,5,9
"17","Atlanta-Sandy Springs-Alpharetta, GA",191830,1,5,9
"18","Dallas-Fort Worth-Arlington, TX",276089,1,5,9
"19","Boston-Cambridge-Newton, MA-NH",132853,1,5,9
"20","Detroit-Warren-Dearborn, MI",134137,1,5,9
"21","Seattle-Tacoma-Bellevue, WA",119683,1,5,9
"22","Washington-Arlington-Alexandria, DC-VA-MD-WV",204346,1,5,9
"23","Houston-The Woodlands-Sugar Land, TX",270976,1,5,9
"24","Miami-Fort Lauderdale-Pompano Beach, FL",168939,1,5,9
"25","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",184873,1,5,9
"26","New York-Newark-Jersey City, NY-NJ-PA",584308,1,5,9
"27","Riverside-San Bernardino-Ontario, CA",164817,1,5,9
"28","San Francisco-Oakland-Berkeley, CA",123782,1,5,9
"29","Los Angeles-Long Beach-Anaheim, CA",372054,1,5,9
"30","Chicago-Naperville-Elgin, IL-IN-WI",302458,1,5,9
"31","Dallas-Fort Worth-Arlington, TX",297797,1,10,14
"32","Atlanta-Sandy Springs-Alpharetta, GA",232176,1,10,14
"33","Boston-Cambridge-Newton, MA-NH",141175,1,10,14
"34","Detroit-Warren-Dearborn, MI",139460,1,10,14
"35","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",201757,1,10,14
"36","Phoenix-Mesa-Chandler, AZ",170648,1,10,14
"37","Houston-The Woodlands-Sugar Land, TX",280270,1,10,14
"38","Miami-Fort Lauderdale-Pompano Beach, FL",180687,1,10,14
"39","Seattle-Tacoma-Bellevue, WA",126301,1,10,14
"40","Washington-Arlington-Alexandria, DC-VA-MD-WV",217607,1,10,14
"41","San Francisco-Oakland-Berkeley, CA",136368,1,10,14
"42","Riverside-San Bernardino-Ontario, CA",180755,1,10,14
"43","New York-Newark-Jersey City, NY-NJ-PA",626431,1,10,14
"44","Chicago-Naperville-Elgin, IL-IN-WI",314751,1,10,14
"45","Los Angeles-Long Beach-Anaheim, CA",432282,1,10,14
"46","Phoenix-Mesa-Chandler, AZ",103730,1,15,17
"47","Washington-Arlington-Alexandria, DC-VA-MD-WV",123622,1,15,17
"48","Miami-Fort Lauderdale-Pompano Beach, FL",108600,1,15,17
"49","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",121817,1,15,17
"50","New York-Newark-Jersey City, NY-NJ-PA",373300,1,15,17
"51","Riverside-San Bernardino-Ontario, CA",108013,1,15,17
"52","Dallas-Fort Worth-Arlington, TX",178903,1,15,17
"53","Atlanta-Sandy Springs-Alpharetta, GA",132268,1,15,17
"54","Seattle-Tacoma-Bellevue, WA",71542,1,15,17
"55","San Francisco-Oakland-Berkeley, CA",81410,1,15,17
"56","Houston-The Woodlands-Sugar Land, TX",166513,1,15,17
"57","Boston-Cambridge-Newton, MA-NH",88655,1,15,17
"58","Chicago-Naperville-Elgin, IL-IN-WI",197607,1,15,17
"59","Detroit-Warren-Dearborn, MI",88640,1,15,17
"60","Los Angeles-Long Beach-Anaheim, CA",251467,1,15,17
"61","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",79055,1,18,19
"62","Seattle-Tacoma-Bellevue, WA",44086,1,18,19
"63","Washington-Arlington-Alexandria, DC-VA-MD-WV",78306,1,18,19
"64","Chicago-Naperville-Elgin, IL-IN-WI",124835,1,18,19
"65","Phoenix-Mesa-Chandler, AZ",66048,1,18,19
"66","Dallas-Fort Worth-Arlington, TX",104102,1,18,19
"67","New York-Newark-Jersey City, NY-NJ-PA",228895,1,18,19
"68","Los Angeles-Long Beach-Anaheim, CA",161956,1,18,19
"69","San Francisco-Oakland-Berkeley, CA",49386,1,18,19
"70","Houston-The Woodlands-Sugar Land, TX",94681,1,18,19
"71","Boston-Cambridge-Newton, MA-NH",71852,1,18,19
"72","Atlanta-Sandy Springs-Alpharetta, GA",82079,1,18,19
"73","Miami-Fort Lauderdale-Pompano Beach, FL",66777,1,18,19
"74","Detroit-Warren-Dearborn, MI",48907,1,18,19
"75","Riverside-San Bernardino-Ontario, CA",66111,1,18,19
"76","Boston-Cambridge-Newton, MA-NH",34933,1,20,20
"77","Washington-Arlington-Alexandria, DC-VA-MD-WV",35675,1,20,20
"78","Chicago-Naperville-Elgin, IL-IN-WI",56056,1,20,20
"79","Dallas-Fort Worth-Arlington, TX",48116,1,20,20
"80","Detroit-Warren-Dearborn, MI",25966,1,20,20
"81","San Francisco-Oakland-Berkeley, CA",20669,1,20,20
"82","Seattle-Tacoma-Bellevue, WA",21607,1,20,20
"83","Miami-Fort Lauderdale-Pompano Beach, FL",35540,1,20,20
"84","Houston-The Woodlands-Sugar Land, TX",44551,1,20,20
"85","New York-Newark-Jersey City, NY-NJ-PA",112689,1,20,20
"86","Atlanta-Sandy Springs-Alpharetta, GA",32706,1,20,20
"87","Riverside-San Bernardino-Ontario, CA",33840,1,20,20
"88","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",39048,1,20,20
"89","Los Angeles-Long Beach-Anaheim, CA",82186,1,20,20
"90","Phoenix-Mesa-Chandler, AZ",36420,1,20,20
"91","Washington-Arlington-Alexandria, DC-VA-MD-WV",41937,1,21,21
"92","San Francisco-Oakland-Berkeley, CA",26357,1,21,21
"93","Dallas-Fort Worth-Arlington, TX",46283,1,21,21
"94","Houston-The Woodlands-Sugar Land, TX",43104,1,21,21
"95","Phoenix-Mesa-Chandler, AZ",32140,1,21,21
"96","Chicago-Naperville-Elgin, IL-IN-WI",57984,1,21,21
"97","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37573,1,21,21
"98","Miami-Fort Lauderdale-Pompano Beach, FL",32621,1,21,21
"99","Boston-Cambridge-Newton, MA-NH",32052,1,21,21
"100","Riverside-San Bernardino-Ontario, CA",35971,1,21,21
"101","New York-Newark-Jersey City, NY-NJ-PA",114579,1,21,21
"102","Detroit-Warren-Dearborn, MI",25290,1,21,21
"103","Seattle-Tacoma-Bellevue, WA",23373,1,21,21
"104","Atlanta-Sandy Springs-Alpharetta, GA",40699,1,21,21
"105","Los Angeles-Long Beach-Anaheim, CA",78480,1,21,21
"106","Washington-Arlington-Alexandria, DC-VA-MD-WV",116953,1,22,24
"107","Houston-The Woodlands-Sugar Land, TX",145618,1,22,24
"108","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",113636,1,22,24
"109","Phoenix-Mesa-Chandler, AZ",96006,1,22,24
"110","Chicago-Naperville-Elgin, IL-IN-WI",182076,1,22,24
"111","Atlanta-Sandy Springs-Alpharetta, GA",122734,1,22,24
"112","Miami-Fort Lauderdale-Pompano Beach, FL",100913,1,22,24
"113","Detroit-Warren-Dearborn, MI",76650,1,22,24
"114","Riverside-San Bernardino-Ontario, CA",93839,1,22,24
"115","San Francisco-Oakland-Berkeley, CA",76521,1,22,24
"116","New York-Newark-Jersey City, NY-NJ-PA",352756,1,22,24
"117","Seattle-Tacoma-Bellevue, WA",75237,1,22,24
"118","Boston-Cambridge-Newton, MA-NH",99693,1,22,24
"119","Los Angeles-Long Beach-Anaheim, CA",256305,1,22,24
"120","Dallas-Fort Worth-Arlington, TX",155092,1,22,24
"121","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",210485,1,25,29
"122","Atlanta-Sandy Springs-Alpharetta, GA",209044,1,25,29
"123","Chicago-Naperville-Elgin, IL-IN-WI",334689,1,25,29
"124","Riverside-San Bernardino-Ontario, CA",171726,1,25,29
"125","San Francisco-Oakland-Berkeley, CA",160800,1,25,29
"126","New York-Newark-Jersey City, NY-NJ-PA",676430,1,25,29
"127","Dallas-Fort Worth-Arlington, TX",280755,1,25,29
"128","Seattle-Tacoma-Bellevue, WA",165985,1,25,29
"129","Los Angeles-Long Beach-Anaheim, CA",494926,1,25,29
"130","Phoenix-Mesa-Chandler, AZ",182432,1,25,29
"131","Detroit-Warren-Dearborn, MI",150814,1,25,29
"132","Miami-Fort Lauderdale-Pompano Beach, FL",186793,1,25,29
"133","Washington-Arlington-Alexandria, DC-VA-MD-WV",215285,1,25,29
"134","Boston-Cambridge-Newton, MA-NH",180378,1,25,29
"135","Houston-The Woodlands-Sugar Land, TX",249505,1,25,29
"136","Riverside-San Bernardino-Ontario, CA",174277,1,30,34
"137","Seattle-Tacoma-Bellevue, WA",184497,1,30,34
"138","Atlanta-Sandy Springs-Alpharetta, GA",211004,1,30,34
"139","Washington-Arlington-Alexandria, DC-VA-MD-WV",228706,1,30,34
"140","San Francisco-Oakland-Berkeley, CA",193815,1,30,34
"141","Phoenix-Mesa-Chandler, AZ",183827,1,30,34
"142","Dallas-Fort Worth-Arlington, TX",288523,1,30,34
"143","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",225402,1,30,34
"144","New York-Newark-Jersey City, NY-NJ-PA",719424,1,30,34
"145","Houston-The Woodlands-Sugar Land, TX",266388,1,30,34
"146","Detroit-Warren-Dearborn, MI",149864,1,30,34
"147","Los Angeles-Long Beach-Anaheim, CA",524793,1,30,34
"148","Boston-Cambridge-Newton, MA-NH",182162,1,30,34
"149","Chicago-Naperville-Elgin, IL-IN-WI",336083,1,30,34
"150","Miami-Fort Lauderdale-Pompano Beach, FL",208978,1,30,34
"151","Detroit-Warren-Dearborn, MI",130569,1,35,39
"152","Los Angeles-Long Beach-Anaheim, CA",473102,1,35,39
"153","San Francisco-Oakland-Berkeley, CA",186594,1,35,39
"154","Washington-Arlington-Alexandria, DC-VA-MD-WV",241020,1,35,39
"155","Miami-Fort Lauderdale-Pompano Beach, FL",203362,1,35,39
"156","Dallas-Fort Worth-Arlington, TX",272641,1,35,39
"157","Atlanta-Sandy Springs-Alpharetta, GA",212021,1,35,39
"158","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",213496,1,35,39
"159","New York-Newark-Jersey City, NY-NJ-PA",685570,1,35,39
"160","Boston-Cambridge-Newton, MA-NH",170985,1,35,39
"161","Riverside-San Bernardino-Ontario, CA",164588,1,35,39
"162","Chicago-Naperville-Elgin, IL-IN-WI",339198,1,35,39
"163","Seattle-Tacoma-Bellevue, WA",165301,1,35,39
"164","Houston-The Woodlands-Sugar Land, TX",279755,1,35,39
"165","Phoenix-Mesa-Chandler, AZ",172141,1,35,39
"166","New York-Newark-Jersey City, NY-NJ-PA",626329,1,40,44
"167","Chicago-Naperville-Elgin, IL-IN-WI",310710,1,40,44
"168","San Francisco-Oakland-Berkeley, CA",167775,1,40,44
"169","Washington-Arlington-Alexandria, DC-VA-MD-WV",225096,1,40,44
"170","Dallas-Fort Worth-Arlington, TX",280418,1,40,44
"171","Atlanta-Sandy Springs-Alpharetta, GA",198569,1,40,44
"172","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",188098,1,40,44
"173","Riverside-San Bernardino-Ontario, CA",154049,1,40,44
"174","Detroit-Warren-Dearborn, MI",131644,1,40,44
"175","Boston-Cambridge-Newton, MA-NH",151410,1,40,44
"176","Los Angeles-Long Beach-Anaheim, CA",439042,1,40,44
"177","Phoenix-Mesa-Chandler, AZ",162574,1,40,44
"178","Seattle-Tacoma-Bellevue, WA",155777,1,40,44
"179","Miami-Fort Lauderdale-Pompano Beach, FL",201965,1,40,44
"180","Houston-The Woodlands-Sugar Land, TX",249825,1,40,44
"181","Washington-Arlington-Alexandria, DC-VA-MD-WV",209786,1,45,49
"182","Seattle-Tacoma-Bellevue, WA",128926,1,45,49
"183","Dallas-Fort Worth-Arlington, TX",253625,1,45,49
"184","Detroit-Warren-Dearborn, MI",128805,1,45,49
"185","Boston-Cambridge-Newton, MA-NH",143257,1,45,49
"186","San Francisco-Oakland-Berkeley, CA",155516,1,45,49
"187","New York-Newark-Jersey City, NY-NJ-PA",597928,1,45,49
"188","Phoenix-Mesa-Chandler, AZ",150658,1,45,49
"189","Houston-The Woodlands-Sugar Land, TX",234180,1,45,49
"190","Los Angeles-Long Beach-Anaheim, CA",417794,1,45,49
"191","Riverside-San Bernardino-Ontario, CA",139557,1,45,49
"192","Miami-Fort Lauderdale-Pompano Beach, FL",201177,1,45,49
"193","Chicago-Naperville-Elgin, IL-IN-WI",298175,1,45,49
"194","Atlanta-Sandy Springs-Alpharetta, GA",201542,1,45,49
"195","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",177932,1,45,49
"196","Seattle-Tacoma-Bellevue, WA",132085,1,50,54
"197","Detroit-Warren-Dearborn, MI",148550,1,50,54
"198","Houston-The Woodlands-Sugar Land, TX",224588,1,50,54
"199","Dallas-Fort Worth-Arlington, TX",249277,1,50,54
"200","San Francisco-Oakland-Berkeley, CA",160257,1,50,54
"201","Miami-Fort Lauderdale-Pompano Beach, FL",210511,1,50,54
"202","Chicago-Naperville-Elgin, IL-IN-WI",307698,1,50,54
"203","Boston-Cambridge-Newton, MA-NH",160312,1,50,54
"204","Los Angeles-Long Beach-Anaheim, CA",440887,1,50,54
"205","Washington-Arlington-Alexandria, DC-VA-MD-WV",210841,1,50,54
"206","New York-Newark-Jersey City, NY-NJ-PA",647301,1,50,54
"207","Phoenix-Mesa-Chandler, AZ",153467,1,50,54
"208","Atlanta-Sandy Springs-Alpharetta, GA",209973,1,50,54
"209","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",197783,1,50,54
"210","Riverside-San Bernardino-Ontario, CA",142730,1,50,54
"211","Chicago-Naperville-Elgin, IL-IN-WI",308593,1,55,59
"212","New York-Newark-Jersey City, NY-NJ-PA",653058,1,55,59
"213","Seattle-Tacoma-Bellevue, WA",117037,1,55,59
"214","Dallas-Fort Worth-Arlington, TX",234702,1,55,59
"215","Atlanta-Sandy Springs-Alpharetta, GA",189923,1,55,59
"216","Boston-Cambridge-Newton, MA-NH",169626,1,55,59
"217","Phoenix-Mesa-Chandler, AZ",143177,1,55,59
"218","Washington-Arlington-Alexandria, DC-VA-MD-WV",200618,1,55,59
"219","Riverside-San Bernardino-Ontario, CA",134663,1,55,59
"220","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",203243,1,55,59
"221","Miami-Fort Lauderdale-Pompano Beach, FL",214824,1,55,59
"222","Detroit-Warren-Dearborn, MI",152063,1,55,59
"223","San Francisco-Oakland-Berkeley, CA",152112,1,55,59
"224","Los Angeles-Long Beach-Anaheim, CA",422794,1,55,59
"225","Houston-The Woodlands-Sugar Land, TX",199264,1,55,59
"226","Miami-Fort Lauderdale-Pompano Beach, FL",85807,1,60,61
"227","Detroit-Warren-Dearborn, MI",62705,1,60,61
"228","New York-Newark-Jersey City, NY-NJ-PA",262591,1,60,61
"229","Riverside-San Bernardino-Ontario, CA",55240,1,60,61
"230","Houston-The Woodlands-Sugar Land, TX",83286,1,60,61
"231","Phoenix-Mesa-Chandler, AZ",57833,1,60,61
"232","Dallas-Fort Worth-Arlington, TX",90152,1,60,61
"233","San Francisco-Oakland-Berkeley, CA",60101,1,60,61
"234","Chicago-Naperville-Elgin, IL-IN-WI",122804,1,60,61
"235","Boston-Cambridge-Newton, MA-NH",63764,1,60,61
"236","Atlanta-Sandy Springs-Alpharetta, GA",71849,1,60,61
"237","Seattle-Tacoma-Bellevue, WA",51674,1,60,61
"238","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",83260,1,60,61
"239","Washington-Arlington-Alexandria, DC-VA-MD-WV",80266,1,60,61
"240","Los Angeles-Long Beach-Anaheim, CA",159428,1,60,61
"241","Miami-Fort Lauderdale-Pompano Beach, FL",103743,1,62,64
"242","Dallas-Fort Worth-Arlington, TX",119957,1,62,64
"243","Los Angeles-Long Beach-Anaheim, CA",222170,1,62,64
"244","New York-Newark-Jersey City, NY-NJ-PA",361280,1,62,64
"245","Houston-The Woodlands-Sugar Land, TX",112870,1,62,64
"246","San Francisco-Oakland-Berkeley, CA",82230,1,62,64
"247","Detroit-Warren-Dearborn, MI",84667,1,62,64
"248","Chicago-Naperville-Elgin, IL-IN-WI",167677,1,62,64
"249","Boston-Cambridge-Newton, MA-NH",91911,1,62,64
"250","Atlanta-Sandy Springs-Alpharetta, GA",101875,1,62,64
"251","Phoenix-Mesa-Chandler, AZ",82475,1,62,64
"252","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",121902,1,62,64
"253","Washington-Arlington-Alexandria, DC-VA-MD-WV",110051,1,62,64
"254","Seattle-Tacoma-Bellevue, WA",73369,1,62,64
"255","Riverside-San Bernardino-Ontario, CA",75476,1,62,64
"256","Chicago-Naperville-Elgin, IL-IN-WI",103373,1,65,66
"257","Dallas-Fort Worth-Arlington, TX",71267,1,65,66
"258","New York-Newark-Jersey City, NY-NJ-PA",216083,1,65,66
"259","Miami-Fort Lauderdale-Pompano Beach, FL",62014,1,65,66
"260","San Francisco-Oakland-Berkeley, CA",50972,1,65,66
"261","Detroit-Warren-Dearborn, MI",54149,1,65,66
"262","Riverside-San Bernardino-Ontario, CA",43575,1,65,66
"263","Boston-Cambridge-Newton, MA-NH",51132,1,65,66
"264","Phoenix-Mesa-Chandler, AZ",47744,1,65,66
"265","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",69595,1,65,66
"266","Washington-Arlington-Alexandria, DC-VA-MD-WV",54908,1,65,66
"267","Atlanta-Sandy Springs-Alpharetta, GA",57923,1,65,66
"268","Los Angeles-Long Beach-Anaheim, CA",132907,1,65,66
"269","Houston-The Woodlands-Sugar Land, TX",64905,1,65,66
"270","Seattle-Tacoma-Bellevue, WA",41467,1,65,66
"271","Dallas-Fort Worth-Arlington, TX",85271,1,67,69
"272","Miami-Fort Lauderdale-Pompano Beach, FL",94551,1,67,69
"273","Chicago-Naperville-Elgin, IL-IN-WI",129832,1,67,69
"274","Atlanta-Sandy Springs-Alpharetta, GA",74162,1,67,69
"275","San Francisco-Oakland-Berkeley, CA",64944,1,67,69
"276","Riverside-San Bernardino-Ontario, CA",57035,1,67,69
"277","Boston-Cambridge-Newton, MA-NH",77636,1,67,69
"278","Washington-Arlington-Alexandria, DC-VA-MD-WV",83168,1,67,69
"279","Seattle-Tacoma-Bellevue, WA",53670,1,67,69
"280","Los Angeles-Long Beach-Anaheim, CA",167379,1,67,69
"281","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",93995,1,67,69
"282","Detroit-Warren-Dearborn, MI",68824,1,67,69
"283","Phoenix-Mesa-Chandler, AZ",67115,1,67,69
"284","Houston-The Woodlands-Sugar Land, TX",85175,1,67,69
"285","New York-Newark-Jersey City, NY-NJ-PA",278235,1,67,69
"286","Dallas-Fort Worth-Arlington, TX",113149,1,70,74
"287","Miami-Fort Lauderdale-Pompano Beach, FL",129339,1,70,74
"288","Seattle-Tacoma-Bellevue, WA",69977,1,70,74
"289","San Francisco-Oakland-Berkeley, CA",98159,1,70,74
"290","Boston-Cambridge-Newton, MA-NH",98263,1,70,74
"291","Riverside-San Bernardino-Ontario, CA",80700,1,70,74
"292","New York-Newark-Jersey City, NY-NJ-PA",390218,1,70,74
"293","Phoenix-Mesa-Chandler, AZ",105802,1,70,74
"294","Los Angeles-Long Beach-Anaheim, CA",230932,1,70,74
"295","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",126943,1,70,74
"296","Washington-Arlington-Alexandria, DC-VA-MD-WV",110970,1,70,74
"297","Chicago-Naperville-Elgin, IL-IN-WI",187013,1,70,74
"298","Houston-The Woodlands-Sugar Land, TX",114142,1,70,74
"299","Detroit-Warren-Dearborn, MI",93184,1,70,74
"300","Atlanta-Sandy Springs-Alpharetta, GA",101855,1,70,74
"301","Miami-Fort Lauderdale-Pompano Beach, FL",96484,1,75,79
"302","New York-Newark-Jersey City, NY-NJ-PA",247747,1,75,79
"303","Boston-Cambridge-Newton, MA-NH",60660,1,75,79
"304","Riverside-San Bernardino-Ontario, CA",54548,1,75,79
"305","San Francisco-Oakland-Berkeley, CA",59495,1,75,79
"306","Phoenix-Mesa-Chandler, AZ",72810,1,75,79
"307","Atlanta-Sandy Springs-Alpharetta, GA",58403,1,75,79
"308","Los Angeles-Long Beach-Anaheim, CA",145898,1,75,79
"309","Detroit-Warren-Dearborn, MI",57679,1,75,79
"310","Dallas-Fort Worth-Arlington, TX",73670,1,75,79
"311","Washington-Arlington-Alexandria, DC-VA-MD-WV",70149,1,75,79
"312","Chicago-Naperville-Elgin, IL-IN-WI",109549,1,75,79
"313","Houston-The Woodlands-Sugar Land, TX",66222,1,75,79
"314","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",77141,1,75,79
"315","Seattle-Tacoma-Bellevue, WA",43492,1,75,79
"316","Riverside-San Bernardino-Ontario, CA",29882,1,80,84
"317","Miami-Fort Lauderdale-Pompano Beach, FL",59794,1,80,84
"318","Houston-The Woodlands-Sugar Land, TX",38622,1,80,84
"319","Dallas-Fort Worth-Arlington, TX",40430,1,80,84
"320","Washington-Arlington-Alexandria, DC-VA-MD-WV",40560,1,80,84
"321","Los Angeles-Long Beach-Anaheim, CA",96619,1,80,84
"322","Chicago-Naperville-Elgin, IL-IN-WI",72434,1,80,84
"323","San Francisco-Oakland-Berkeley, CA",38283,1,80,84
"324","Boston-Cambridge-Newton, MA-NH",36450,1,80,84
"325","Seattle-Tacoma-Bellevue, WA",24373,1,80,84
"326","New York-Newark-Jersey City, NY-NJ-PA",159082,1,80,84
"327","Atlanta-Sandy Springs-Alpharetta, GA",34825,1,80,84
"328","Phoenix-Mesa-Chandler, AZ",42642,1,80,84
"329","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",47555,1,80,84
"330","Detroit-Warren-Dearborn, MI",33968,1,80,84
"331","Riverside-San Bernardino-Ontario, CA",23483,1,85,99
"332","San Francisco-Oakland-Berkeley, CA",35594,1,85,99
"333","Atlanta-Sandy Springs-Alpharetta, GA",24966,1,85,99
"334","Washington-Arlington-Alexandria, DC-VA-MD-WV",32743,1,85,99
"335","Houston-The Woodlands-Sugar Land, TX",27111,1,85,99
"336","Chicago-Naperville-Elgin, IL-IN-WI",52936,1,85,99
"337","Boston-Cambridge-Newton, MA-NH",32424,1,85,99
"338","Seattle-Tacoma-Bellevue, WA",21559,1,85,99
"339","Phoenix-Mesa-Chandler, AZ",32075,1,85,99
"340","New York-Newark-Jersey City, NY-NJ-PA",141333,1,85,99
"341","Miami-Fort Lauderdale-Pompano Beach, FL",63084,1,85,99
"342","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",41936,1,85,99
"343","Detroit-Warren-Dearborn, MI",27811,1,85,99
"344","Los Angeles-Long Beach-Anaheim, CA",84307,1,85,99
"345","Dallas-Fort Worth-Arlington, TX",27228,1,85,99
